review_id,estrato,tipo
r928aa62fbbce7a2c37d1917c629045e1,excluir,exclusao
ra1caef51b093c97b6d478e220f59fbb6,excluir,exclusao
r8b27d400522d2e2fbb093f25155ac2e2,excluir,exclusao
r3a0a3359aa6224633ca027a836ba84a4,excluir,exclusao
ra09671455f481b6c39d82ada07e51537,excluir,exclusao
r1367a6568581adf60b9d58ecbbc442fe,excluir,exclusao
r1a34d2065a4c57eff85b6a1fa187f81b,excluir,exclusao
r2207c067c20dd10252518cc51de9ffef,excluir,exclusao
r9e038381bab1ff608492b4164d3b8135,excluir,exclusao
r8d7da1bdf10b69dd3078600412d3d099,excluir,exclusao
r50b4edb0d1fe30ec68aa978ae7f8d8f8,excluir,exclusao
r5bfc987191e019a8aaf1a6f3070b4540,excluir,exclusao
red03678ab09edc24e332ae328d0567af,excluir,exclusao
r50dc11ae831e6e25e2619c5b771ee3a1,excluir,exclusao
re289d11e8071db6c52f757037f79a64b,excluir,exclusao
r2d9dc00e1dc95905e6cb4567b91c872c,excluir,exclusao
r24213c3cfa5caf2b6661b4bf8c09a717,excluir,exclusao
rd3e56327192773c9f261fb115c5f6005,excluir,exclusao
r931152f5d0f89bbb6da0db38d7c25feb,excluir,exclusao
rfafe5936d721780918a505460b7c78ea,excluir,exclusao
rf80d0fd0d51e64407c9f9d3cb3c19593,excluir,exclusao
r9ae5630d801976c17187d49550fe3be1,excluir,exclusao
r9227fcc14678e8e030a908ef338f3cc5,excluir,exclusao
r513577e9269886de8c488a5dc3c66897,excluir,exclusao
rbfcc628053b02b576cc9656c956f97eb,excluir,exclusao
r356093d35c7aa6b4b728f284d4700c93,excluir,exclusao
re1e78b6d68da576f57eb01cf56a4b4bb,excluir,exclusao
r940bc7826bf2d99d79fb4bb1c2cec0e6,excluir,exclusao
r180920916b99fe0796f49a32bf5d2287,excluir,exclusao
r53e94958d97c6f2243a1654f1a76412c,excluir,exclusao
r09b4d62a3db5aca2f1ba09971a0c19e8,excluir,exclusao
r5bfc5be656a643780174245525ab5fc6,excluir,exclusao
r96cdb340d18231169220055974e2607f,excluir,exclusao
re32a379ee53df243920b7b1f4b1b4816,excluir,exclusao
r6a643b04cf404e7f825bf192b846b947,abstract_alta,inclusao
r000bbdb311cdb42cc65e791c9997e416,abstract_alta,inclusao
r2cdc1e3b1970d95b8202c3734be8fbe6,abstract_alta,inclusao
r4d78f9378f798dded47e26c3fba7c5d8,abstract_alta,inclusao
r9831ac0c948d32b859e758d592f2aa01,abstract_alta,inclusao
rbeaa72e9879268d795679a4fa0e01122,abstract_alta,inclusao
r7aaa3dcdcf0b9c2bf63cefd981188dd7,abstract_alta,inclusao
r71d59d3a59e4a78d56daa7a7f3c6fe0a,abstract_alta,inclusao
r9af2707895b9125e8eaf43b81d74aa33,abstract_alta,inclusao
r197e0fedb18525912ca2af07e8863cb9,abstract_alta,inclusao
r3bba6aee9bd52c948817d7b2b875de8a,abstract_alta,inclusao
r9f065af4bb700367ae1ebf1e7653502b,abstract_alta,inclusao
r82abd757ce6f1f4019f6d8e3c348fc78,abstract_alta,inclusao
ra4528001a8c706905a53ab407c7cf1a6,abstract_alta,inclusao
r1c42894112417c19a64b137bd443b195,abstract_alta,inclusao
r6250fe4c4aa4944c5f61c2832ff20706,abstract_alta,inclusao
rff54b66b3fb2c0937c71afc49ea7f4b2,abstract_alta,inclusao
r4f48a9346e2513bc910d0dab10b853cc,abstract_alta,inclusao
r3e5afbaa470fd481a3f942420ffc2e38,abstract_alta,inclusao
r0afa0bf524facf743cf6c52685014ccc,abstract_alta,inclusao
r13d34ee606e2045741fd5fae23bfbcbe,abstract_alta,inclusao
r308d77686e7742144323c1c7126214a1,abstract_alta,inclusao
rd61bf98c6df0ea7f1781d57fa79970b4,abstract_alta,inclusao
r237453b25c31ea58f0391614921c77d1,abstract_baixa,inclusao
rcd4d4755fce64e9da5d862ae765c94b6,abstract_baixa,inclusao
rbd57b9e6bc76762ba08a18c643532090,abstract_baixa,inclusao
rbc61993d0b3527c9a376819127713fee,abstract_baixa,inclusao
r1617faa416beed6d3be59dc716e1b715,abstract_baixa,inclusao
r39e5be422511214289e5e7f190206e77,abstract_baixa,inclusao
re2d12f63c987681b83507e73de6af99c,abstract_baixa,inclusao
r10acb84af510b683cef8476bf2d050b9,abstract_media,inclusao
r0cdb1158d4a6f44ab488e6966e519dde,abstract_media,inclusao
